id,price,neighbourhood,accommodates,bathrooms,bedrooms,beds,review_scores_rating,number_of_reviews,listing_url
34646910,1000,Arganzuela,2,1.5,0,1,,0,https://www.airbnb.com/rooms/34646910
34664988,1000,Arganzuela,4,1.5,1,1,,0,https://www.airbnb.com/rooms/34664988
34730250,1000,Arganzuela,4,1,0,1,,0,https://www.airbnb.com/rooms/34730250
34824697,980,Arganzuela,5,1,1,1,100,1,https://www.airbnb.com/rooms/34824697
34619471,975,Arganzuela,4,1,2,2,,0,https://www.airbnb.com/rooms/34619471
34562554,900,Arganzuela,3,1,1,1,,0,https://www.airbnb.com/rooms/34562554
35074075,900,Arganzuela,2,1.5,1,2,,0,https://www.airbnb.com/rooms/35074075
34782856,800,Arganzuela,3,1,1,2,100,1,https://www.airbnb.com/rooms/34782856
34964578,800,Arganzuela,4,1,2,2,,0,https://www.airbnb.com/rooms/34964578
34582998,650,Arganzuela,5,1,3,3,,0,https://www.airbnb.com/rooms/34582998
34823578,650,Arganzuela,4,1,2,3,,0,https://www.airbnb.com/rooms/34823578
32182804,600,Arganzuela,6,1,2,3,100,2,https://www.airbnb.com/rooms/32182804
35699065,600,Arganzuela,6,1,2,3,73,3,https://www.airbnb.com/rooms/35699065
35780164,600,Arganzuela,6,1,3,3,80,1,https://www.airbnb.com/rooms/35780164
35027849,550,Arganzuela,7,2,3,6,,0,https://www.airbnb.com/rooms/35027849
29644467,500,Arganzuela,4,1,2,2,,0,https://www.airbnb.com/rooms/29644467
34812275,500,Arganzuela,4,1,1,5,,0,https://www.airbnb.com/rooms/34812275
35104800,500,Arganzuela,5,2,3,4,,0,https://www.airbnb.com/rooms/35104800
31666012,490,Arganzuela,6,1.5,2,4,100,1,https://www.airbnb.com/rooms/31666012
34885835,490,Arganzuela,2,1,1,1,,0,https://www.airbnb.com/rooms/34885835
20223709,480,Arganzuela,7,2,3,6,100,54,https://www.airbnb.com/rooms/20223709
34710705,450,Arganzuela,4,1,2,4,100,1,https://www.airbnb.com/rooms/34710705
34863296,450,Arganzuela,2,1,2,1,,0,https://www.airbnb.com/rooms/34863296
34701803,414,Arganzuela,2,1,2,1,,1,https://www.airbnb.com/rooms/34701803
17989229,400,Arganzuela,4,1,1,1,100,3,https://www.airbnb.com/rooms/17989229
34865525,400,Arganzuela,1,1.5,1,1,,0,https://www.airbnb.com/rooms/34865525
36160163,400,Arganzuela,4,1,1,1,100,1,https://www.airbnb.com/rooms/36160163
37515017,400,Arganzuela,4,1,1,1,,0,https://www.airbnb.com/rooms/37515017
35004073,397,Arganzuela,2,1,1,2,,0,https://www.airbnb.com/rooms/35004073
25207237,390,Arganzuela,4,2,2,2,,0,https://www.airbnb.com/rooms/25207237
36206710,370,Arganzuela,1,1,1,1,,0,https://www.airbnb.com/rooms/36206710
34681185,350,Arganzuela,2,1,1,1,,0,https://www.airbnb.com/rooms/34681185
34749051,350,Arganzuela,2,1,1,1,,0,https://www.airbnb.com/rooms/34749051
35125203,350,Arganzuela,2,2,1,1,,0,https://www.airbnb.com/rooms/35125203
34888058,340,Arganzuela,2,1,1,2,,0,https://www.airbnb.com/rooms/34888058
34888354,340,Arganzuela,2,1,1,2,,0,https://www.airbnb.com/rooms/34888354
35003038,299,Arganzuela,2,1,1,1,,0,https://www.airbnb.com/rooms/35003038
33682757,290,Arganzuela,2,1,1,2,100,1,https://www.airbnb.com/rooms/33682757
34732248,290,Arganzuela,7,3,3,1,,0,https://www.airbnb.com/rooms/34732248
31665979,285,Arganzuela,8,2.5,3,6,91,7,https://www.airbnb.com/rooms/31665979
34853494,280,Arganzuela,4,1,2,2,,0,https://www.airbnb.com/rooms/34853494
34613361,265,Arganzuela,2,1,1,1,,0,https://www.airbnb.com/rooms/34613361
19456480,250,Arganzuela,2,1,1,1,,0,https://www.airbnb.com/rooms/19456480
38595008,250,Arganzuela,6,1,2,3,,0,https://www.airbnb.com/rooms/38595008
31666033,248,Arganzuela,6,1.5,2,4,,0,https://www.airbnb.com/rooms/31666033
33057630,244,Arganzuela,10,2,4,8,80,2,https://www.airbnb.com/rooms/33057630
7445971,240,Arganzuela,8,2,2,4,98,21,https://www.airbnb.com/rooms/7445971
24629554,226,Arganzuela,6,1,2,4,92,5,https://www.airbnb.com/rooms/24629554
17469547,220,Arganzuela,4,1,1,1,88,8,https://www.airbnb.com/rooms/17469547
9142639,200,Arganzuela,6,2,3,6,100,1,https://www.airbnb.com/rooms/9142639
18644774,200,Arganzuela,4,1,2,2,,0,https://www.airbnb.com/rooms/18644774
18873577,200,Arganzuela,8,2.5,3,4,,0,https://www.airbnb.com/rooms/18873577
19344018,200,Arganzuela,2,1,1,2,,0,https://www.airbnb.com/rooms/19344018
32803663,200,Arganzuela,9,2,4,5,96,28,https://www.airbnb.com/rooms/32803663
34334502,200,Arganzuela,4,1,2,2,,0,https://www.airbnb.com/rooms/34334502
34802541,200,Arganzuela,4,1.5,2,3,100,1,https://www.airbnb.com/rooms/34802541
34817797,200,Arganzuela,2,1,1,1,40,1,https://www.airbnb.com/rooms/34817797
38594753,200,Arganzuela,4,1,1,2,,0,https://www.airbnb.com/rooms/38594753
31922148,199,Arganzuela,10,2,4,4,96,54,https://www.airbnb.com/rooms/31922148
13429275,180,Arganzuela,8,2,4,4,,0,https://www.airbnb.com/rooms/13429275
38409484,180,Arganzuela,6,2,3,5,,0,https://www.airbnb.com/rooms/38409484
35125225,179,Arganzuela,6,1,2,3,,0,https://www.airbnb.com/rooms/35125225
19502683,175,Arganzuela,4,1,2,2,,0,https://www.airbnb.com/rooms/19502683
34850645,170,Arganzuela,6,2,3,4,90,2,https://www.airbnb.com/rooms/34850645
22991001,169,Arganzuela,8,2,3,6,100,59,https://www.airbnb.com/rooms/22991001
19344383,160,Arganzuela,2,1,1,1,95,8,https://www.airbnb.com/rooms/19344383
34815181,160,Arganzuela,2,1,1,1,,0,https://www.airbnb.com/rooms/34815181
16446376,159,Arganzuela,7,2,3,5,98,144,https://www.airbnb.com/rooms/16446376
23803881,155,Arganzuela,6,1,2,3,,0,https://www.airbnb.com/rooms/23803881
15343140,150,Arganzuela,10,2,4,8,86,17,https://www.airbnb.com/rooms/15343140
25478699,150,Arganzuela,6,2,2,3,96,10,https://www.airbnb.com/rooms/25478699
30432412,150,Arganzuela,7,2,4,4,94,36,https://www.airbnb.com/rooms/30432412
32652945,150,Arganzuela,6,2,2,2,,0,https://www.airbnb.com/rooms/32652945
32688140,150,Arganzuela,6,2,2,2,98,8,https://www.airbnb.com/rooms/32688140
34650504,150,Arganzuela,2,1,1,1,100,2,https://www.airbnb.com/rooms/34650504
34800354,150,Arganzuela,2,1,1,2,,0,https://www.airbnb.com/rooms/34800354
35084841,150,Arganzuela,3,1,2,3,80,1,https://www.airbnb.com/rooms/35084841
35179676,150,Arganzuela,2,1,1,1,,0,https://www.airbnb.com/rooms/35179676
36303689,150,Arganzuela,3,1,1,2,100,1,https://www.airbnb.com/rooms/36303689
37028021,150,Arganzuela,6,1,3,3,20,2,https://www.airbnb.com/rooms/37028021
26303062,149,Arganzuela,6,1.5,3,4,60,4,https://www.airbnb.com/rooms/26303062
20352055,148,Arganzuela,8,2,3,4,88,33,https://www.airbnb.com/rooms/20352055
20946014,148,Arganzuela,6,2,3,4,100,91,https://www.airbnb.com/rooms/20946014
21212218,148,Arganzuela,6,2,2,4,99,103,https://www.airbnb.com/rooms/21212218
780397,145,Arganzuela,8,2,3,6,84,22,https://www.airbnb.com/rooms/780397
24427784,145,Arganzuela,3,1,1,4,100,2,https://www.airbnb.com/rooms/24427784
32031513,145,Arganzuela,7,3,3,4,98,35,https://www.airbnb.com/rooms/32031513
