name,enrollment,state,AA,Asian,Black,Hispanic,PI,White,TP,U,Foreign
University of Phoenix-Arizona,195059,Arizona,876,1959,31455,13984,1019,58209,19039,65163,3355
Liberty University,81459,Virginia,447,856,14751,1186,151,39062,1772,22198,1036
Lone Star College system,69395,Texas,168,4198,12094,23751,0,23615,1997,2273,1299
Miami Dade College,66046,Florida,47,655,10722,44870,41,4170,226,1927,3388
Grand Canyon University,62304,Arizona,586,2446,13856,8933,295,28715,1558,5915,0
Texas A&M University at College Station,61642,Texas,173,3545,1879,11256,59,37458,1644,383,5245
University of Central Florida,60767,Florida,120,3343,6400,13108,129,33293,1841,1018,1515
Ohio State University,58322,Ohio,76,3339,3108,2049,35,40283,1503,1753,6176
Western Governors University,57821,Utah,360,2195,5442,4291,288,41898,1660,1614,73
American Public University system,57539,West Virginia,397,1106,11842,5656,526,32587,2053,2876,496
Walden University,52188,Minnesota,267,1343,18914,3021,116,20280,1090,6618,539
University of Texas at Austin,51313,Texas,96,8324,1961,9836,59,24068,1576,530,4863
Ashford University,51237,California,482,645,18727,4792,405,23596,1539,955,96
University of Minnesota-Twin Cities,51147,Minnesota,163,3998,1785,1544,31,33674,1353,2223,6376
Tarrant County College District,50595,Texas,231,2950,9407,14632,107,21176,1071,615,406
Arizona State University,50320,Arizona,651,3185,1803,8239,103,26155,1765,465,7954
Michigan State University,50081,Michigan,127,2214,3196,1878,46,33115,1217,646,7642
Florida International University,49610,Florida,42,1434,5977,31211,57,5683,1042,545,3619
University of Florida,49459,Florida,137,3501,3151,8127,240,27317,1108,1583,4295
New York University,49274,New York,94,7314,2374,4267,45,17326,1248,5111,11495
Rutgers University at New Brunswick,48378,New Jersey,30,10850,3874,5438,123,20916,1341,1119,4687
University of Maryland University College,47906,Maryland,218,2272,14348,4628,297,19344,1652,4454,693
Pennsylvania State University at University Park,47040,Pennsylvania,36,2624,1823,2468,35,31453,1082,827,6692
Indiana University at Bloomington,46416,Indiana,55,2008,1794,2056,22,32242,1411,534,6294
University of Illinois at Urbana-Champaign,45140,Illinois,39,6121,2186,3384,47,21777,1049,576,9961
University of Washington,44784,Washington,233,8702,1093,2917,160,21015,2407,1580,6677
Broward College,44119,Florida,84,1305,14638,15053,133,9047,742,1757,1360
University of Michigan at Ann Arbor,43625,Michigan,80,4974,1742,1933,21,24810,1268,2783,6014
Southern New Hampshire University,43274,New Hampshire,152,337,2373,1009,33,10846,60,27213,1251
Valencia College,43217,Florida,144,1898,7490,13965,190,13600,1020,4039,871
