name,state,state_code,type,degree_length,in_state_tuition,out_of_state_tuition,liberal_arts,region
Aaniiih Nakoda College,Montana,MT,Public,2 Year,2380,2380,no,West
Abilene Christian University,Texas,TX,Private,4 Year,34850,34850,yes,South
Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,4128,12550,no,South
Academy College,Minnesota,MN,For Profit,2 Year,17661,17661,no,Midwest
Academy of Art University,California,CA,For Profit,4 Year,27810,27810,no,West
Adams State University,Colorado,CO,Public,4 Year,9440,20456,yes,West
Adelphi University,New York,NY,Private,4 Year,38660,38660,yes,Northeast
Adirondack Community College,New York,NY,Public,2 Year,5375,9935,no,Northeast
Adrian College,Michigan,MI,Private,4 Year,37087,37087,yes,Midwest
Advanced Technology Institute,Virginia,VA,For Profit,2 Year,13680,13680,no,South
Adventist University of Health Sciences,Florida,FL,Private,4 Year,15150,15150,no,South
Agnes Scott College,Georgia,GA,Private,4 Year,41160,41160,yes,South
Aiken Technical College,South Carolina,SC,Public,2 Year,5160,8010,no,South
Aims Community College,Colorado,CO,Public,2 Year,2281,13018,no,West
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4 Year,9698,17918,no,South
Alabama Southern Community College,Alabama,AL,Public,2 Year,4440,8880,no,South
Alabama State University,Alabama,AL,Public,4 Year,11068,19396,no,South
Alamance Community College,North Carolina,NC,Public,2 Year,2310,8070,no,South
Alaska Bible College,Alaska,AK,Private,4 Year,9300,9300,no,West
Alaska Pacific University,Alaska,AK,Private,4 Year,20830,20830,no,West
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,35105,35105,no,Northeast
Albany State University,Georgia,GA,Public,4 Year,6726,19802,no,South
Albany Technical College,Georgia,GA,Public,2 Year,3246,5916,no,South
Albertus Magnus College,Connecticut,CT,Private,4 Year,32060,32060,no,Northeast
Albion College,Michigan,MI,Private,4 Year,45775,45775,yes,Midwest
Albright College,Pennsylvania,PA,Private,4 Year,45306,45306,yes,Northeast
Alcorn State University,Mississippi,MS,Public,4 Year,7144,7144,no,South
Alderson-Broaddus University,West Virginia,WV,Private,4 Year,27910,27910,no,South
Alexandria Technical and Community College,Minnesota,MN,Public,2 Year,5416,5416,no,Midwest
Alfred University,New York,NY,Private,4 Year,33484,33484,no,Northeast
Allan Hancock College,California,CA,Public,2 Year,1418,7898,no,West
Allegany College of Maryland,Maryland,MD,Public,2 Year,4140,9210,no,South
Allegheny College,Pennsylvania,PA,Private,4 Year,47540,47540,yes,Northeast
Allegheny Wesleyan College,Ohio,OH,Private,4 Year,6400,6400,no,Midwest
Allen College,Iowa,IA,Private,4 Year,19970,19970,no,Midwest
Allen County Community College,Kansas,KS,Public,2 Year,3150,3150,no,Midwest
Allen University,South Carolina,SC,Private,4 Year,13340,13340,yes,South
Alliant International University,California,CA,Private,4 Year,18000,18000,no,West
Alma College,Michigan,MI,Private,4 Year,40258,40258,yes,Midwest
Alpena Community College,Michigan,MI,Public,2 Year,4530,6840,no,Midwest
Alvernia University,Pennsylvania,PA,Private,4 Year,34885,34885,no,Northeast
Alverno College,Wisconsin,WI,Private,4 Year,28302,28302,yes,Midwest
Alvin Community College,Texas,TX,Public,2 Year,1998,4818,no,South
Amarillo College,Texas,TX,Public,2 Year,2670,5880,no,South
Amberton University,Texas,TX,Private,4 Year,12840,12840,no,South
American Academy McAllister Institute of Funeral Service,New York,NY,Private,2 Year,17160,17160,no,Northeast
American Academy of Art,Illinois,IL,Private,4 Year,34100,34100,no,Midwest
American Academy of Dramatic Arts,New York,NY,Private,2 Year,35160,35160,no,Northeast
American Academy of Dramatic Arts: West,California,CA,Private,2 Year,35160,35160,no,West
American Baptist College,Tennessee,TN,Private,4 Year,10950,10950,no,South
American Indian College of the Assemblies of God,Arizona,AZ,Private,4 Year,958,958,no,West
American International College,Massachusetts,MA,Private,4 Year,35680,35680,no,Northeast
American Jewish University,California,CA,Private,4 Year,31826,31826,no,West
American National University: Charlottesville,Virginia,VA,For Profit,2 Year,18735,18735,no,South
American National University: Danville,Virginia,VA,For Profit,2 Year,18735,18735,no,South
American National University: Harrisonburg,Virginia,VA,For Profit,2 Year,18735,18735,no,South
American National University: Lynchburg,Virginia,VA,For Profit,2 Year,18735,18735,no,South
