name,city,type,beercount,est,status,url
1718 Brewing Ocracoke,Ocracoke,Brewpub,20,2018,Active,https://www.ratebeer.com//brewers/1718-brewing-ocracoke/35300/
217 Brew Works,Wilson,Microbrewery,13,2017,Active,https://www.ratebeer.com//brewers/217-brew-works/30902/
3rd Degree Brewhouse,Fuquay Varina,Microbrewery,4,2018,Active,https://www.ratebeer.com//brewers/3rd-degree-brewhouse/37979/
3rd Rock Brewing Company,Trenton,Microbrewery,14,2016,Active,https://www.ratebeer.com//brewers/3rd-rock-brewing-company/27344/
638 Brewing Company,Winston-Salem,Client Brewer,2,2019,Active,https://www.ratebeer.com//brewers/638-brewing-company/38962/
7 Clans Brewing,Cherokee,Client Brewer,3,2018,Active,https://www.ratebeer.com//brewers/7-clans-brewing/35021/
All Sevens Brewing,Asheville,Microbrewery,11,2018,Active,https://www.ratebeer.com//brewers/all-sevens-brewing/36948/
Ancillary* Fermentation,Raleigh,Commercial Brewery,5,2018,Active,https://www.ratebeer.com//brewers/ancillary-fermentation/37974/
Andrews Brewing Company,Andrews,Microbrewery,24,2014,Active,https://www.ratebeer.com//brewers/andrews-brewing-company/18735/
Angry Troll Brewing,Elkin,Microbrewery,17,2017,Active,https://www.ratebeer.com//brewers/angry-troll-brewing/30127/
Appalachian Mountain Brewery (Craft Brew Alliance - AB InBev),Boone,Microbrewery,139,2013,Active,https://www.ratebeer.com//brewers/appalachian-mountain-brewery-craft-brew-alliance-ab-inbev/16180/
Archetype Brewing,Asheville,Microbrewery,30,2017,Active,https://www.ratebeer.com//brewers/archetype-brewing/32342/
Asheville Brewing Company,Asheville,Brewpub,99,2003,Active,https://www.ratebeer.com//brewers/asheville-brewing-company/3470/
Ass Clown Brewing Company,Cornelius,Microbrewery,160,2011,Active,https://www.ratebeer.com//brewers/ass-clown-brewing-company/13421/
Aviator Brewing Company,Fuquay Varina,Microbrewery,62,2008,Active,https://www.ratebeer.com//brewers/aviator-brewing-company/10050/
Balsam Falls Brewing Company,Sylva,Microbrewery,30,2018,Active,https://www.ratebeer.com//brewers/balsam-falls-brewing-company/35306/
Barking Duck Brewing Company,Mint Hill,Microbrewery,16,2014,Active,https://www.ratebeer.com//brewers/barking-duck-brewing-company/20739/
