Country,Region,Population,HDI,GDP,Cropland,Grazing,Forest,Carbon,Fish,Total,EarthsRequired,CountriesRequired,DataQuality
Afghanistan,Middle East/Central Asia,29.82,0.46,614.66,0.3,0.2,0.08,0.18,0,0.79,0.46,1.6,6
Albania,Northern/Eastern Europe,3.16,0.73,4534.37,0.78,0.22,0.25,0.87,0.02,2.21,1.27,1.87,6
Algeria,Africa,38.48,0.73,5430.57,0.6,0.16,0.17,1.14,0.01,2.12,1.22,3.61,5
Angola,Africa,20.82,0.52,4665.91,0.33,0.15,0.12,0.2,0.09,0.93,0.54,0.37,6
Antigua and Barbuda,Latin America,0.09,0.78,13205.1,,,,,,5.38,3.11,5.7,2
Argentina,Latin America,41.09,0.83,13540,0.78,0.79,0.29,1.08,0.1,3.14,1.82,0.45,6
Armenia,Middle East/Central Asia,2.97,0.73,3426.39,0.74,0.18,0.34,0.89,0.01,2.23,1.29,2.52,3B
Aruba,Latin America,0.1,,,,,,,,11.88,6.86,20.69,2
Australia,Asia-Pacific,23.05,0.93,66604.2,2.68,0.63,0.89,4.85,0.11,9.31,5.37,0.56,5
Austria,European Union,8.46,0.88,51274.1,0.82,0.27,0.63,4.14,0.06,6.06,3.5,1.98,5
Azerbaijan,Middle East/Central Asia,9.31,0.75,7106.04,0.66,0.22,0.11,1.25,0.01,2.31,1.33,2.72,6
Bahamas,Latin America,0.37,0.78,22647.3,0.97,1.05,0.19,4.46,0.14,6.84,3.95,0.72,3L
Bahrain,Middle East/Central Asia,1.32,0.82,24299,0.52,0.45,0.16,6.19,0.07,7.49,4.33,12.96,3L
Bangladesh,Asia-Pacific,154.7,0.56,857.5,0.29,0,0.08,0.26,0.02,0.72,0.42,1.92,6
Barbados,Latin America,0.28,0.79,15722.8,0.56,0.24,0.14,3.28,0.22,4.48,2.58,23.79,5
Belarus,Northern/Eastern Europe,9.4,0.8,6300.45,1.32,0.12,0.91,2.57,0.08,5.09,2.94,1.4,6
Belgium,European Union,11.06,0.89,48053.3,1.15,0.48,0.99,4.43,0.12,7.44,4.3,6.27,6
Benin,Africa,10.05,0.48,746.83,0.49,0.04,0.26,0.51,0.08,1.41,0.81,1.61,6
Bermuda,North America,0.06,,70626.3,,,,,,5.77,3.33,44.05,3T
Bhutan,Asia-Pacific,0.74,0.59,2395,0.5,0.42,3.03,0.63,0.02,4.84,2.8,0.92,3B
Bolivia,Latin America,10.5,0.65,2253.09,0.37,1.69,0.17,0.67,0.01,2.96,1.71,0.18,5
Bosnia and Herzegovina,Northern/Eastern Europe,3.83,0.73,4708.85,0.63,0.27,0.44,1.74,0.02,3.12,1.8,1.91,5
Botswana,Africa,2,0.69,7743.5,0.3,0.89,0.24,2.36,0.01,3.83,2.21,1.1,3B
Brazil,Latin America,198.66,0.75,13237.6,0.62,0.85,0.6,0.91,0.04,3.11,1.8,0.34,5
British Virgin Islands,Latin America,0.03,,,,,,,,2.86,1.65,1.4,3T
Brunei Darussalam,Asia-Pacific,0.41,0.85,47097.4,0.31,0.13,0.26,3.24,0.09,4.06,2.34,1.41,3L
