wt_gain,amt,type
118,high,beef
117,high,beef
111,high,beef
107,high,beef
104,high,beef
102,high,beef
100,high,beef
87,high,beef
81,high,beef
73,high,beef
120,high,pork
108,high,pork
105,high,pork
102,high,pork
102,high,pork
98,high,pork
96,high,pork
94,high,pork
91,high,pork
79,high,pork
111,high,grain
98,high,grain
95,high,grain
92,high,grain
88,high,grain
86,high,grain
82,high,grain
77,high,grain
74,high,grain
56,high,grain
95,high,beef
90,high,beef
90,high,beef
90,high,beef
86,high,beef
78,high,beef
76,high,beef
72,high,beef
64,high,beef
51,high,beef
106,low,pork
97,low,pork
86,low,pork
82,low,pork
82,low,pork
81,low,pork
73,low,pork
70,low,pork
61,low,pork
49,low,pork
107,low,grain
98,low,grain
97,low,grain
95,low,grain
89,low,grain
80,low,grain
74,low,grain
74,low,grain
67,low,grain
58,low,grain
